actorId,pagerank,degree,weightedDegree,community
nm8263621,0.885159,9,9,56
nm8941715,0.885159,9,9,56
nm1283344,0.885159,9,9,56
nm9051285,1.69165,18,18,56
nm0443937,0.956853,9,9,182
nm0607375,0.956853,9,9,182
nm0639533,0.956853,9,9,182
nm1766456,0.956853,9,9,182
nm2906167,0.956853,9,9,182
nm0107101,0.956853,9,9,182
nm5544029,0.956853,9,9,182
nm5560389,0.956853,9,9,182
nm6112124,0.956853,9,9,182
nm0194553,0.921881,9,9,163
nm0034330,0.921881,9,9,163
nm0577420,0.939472,9,9,114
nm7552807,0.896875,9,9,6
nm0171674,0.924626,9,9,6
nm0225483,0.865955,9,9,6
nm10356441,0.896875,9,9,6
nm8313494,0.865955,9,9,6
nm0678648,0.865955,9,9,6
nm6226543,0.865955,9,9,6
nm7887725,1.652122,18,18,6
nm4263664,0.65391,9,9,110
nm5225142,0.65391,9,9,110
nm1000331,1.720507,27,27,110
nm10315880,0.66325,9,9,548
nm0348018,3.085856,50,54,474
nm10510270,0.663009,9,9,113
nm9629125,0.663009,9,9,113
nm0784226,0.650712,9,9,113
nm5325732,1.552304,26,27,113
nm0374815,1.646259,17,18,470
nm0287544,2.21125,26,27,440
nm0264179,1.0,9,9,185
nm0041308,1.0,9,9,185
nm10494105,1.0,9,9,185
nm10494107,1.0,9,9,185
nm10494111,1.0,9,9,185
nm0154491,1.0,9,9,185
nm2186494,1.0,9,9,188
nm5500026,0.864733,9,9,56
nm0176444,0.864733,9,9,56
nm4441966,0.864733,9,9,56
nm1235318,1.0,9,9,143
nm0368689,0.799519,9,9,111
nm1758612,2.156674,27,27,111
nm2010689,2.911591,36,36,111
nm1166738,0.905844,9,9,110
nm3882781,1.502214,18,18,110
nm0875309,0.905844,9,9,110
nm0370621,0.905844,9,9,110
nm3819591,0.857128,9,9,110
nm0462017,1.396995,18,18,110
nm1465001,0.857128,9,9,110
nm0359305,0.857128,9,9,110
nm0757013,1.472733,18,18,110
nm1326732,1.0,9,9,190
nm0623311,1.0,9,9,190
nm4981506,1.0,9,9,190
nm1160730,0.760473,9,9,110
nm1149137,0.760473,9,9,110
nm0440406,0.779915,9,9,110
nm0464884,0.760473,9,9,110
nm0762942,0.779915,9,9,110
nm0038951,1.403332,18,18,110
nm4463035,0.762594,9,9,110
nm0038377,0.847195,9,9,110
nm1679391,0.762594,9,9,110
nm10233229,1.0,9,9,192
nm5799334,0.946,9,9,59
nm0312656,2.328,27,27,110
nm3174747,0.845384,9,9,110
nm0481246,1.0,9,9,193
nm11758686,1.0,9,9,193
nm0251122,0.770665,9,9,252
nm0438704,0.772572,9,9,343
nm0312647,2.179304,26,27,457
nm0433940,0.798,9,9,252
nm0618628,1.382661,16,18,402
nm1017945,0.770665,9,9,252
nm0463753,0.770665,9,9,252
nm1141223,0.771104,9,9,195
nm2146858,0.813074,9,9,111
nm5457207,0.818193,9,9,111
nm2489612,1.481445,18,18,111
nm0297835,1.407858,18,18,110
nm0442955,0.747494,9,9,110
nm10441908,0.747494,9,9,110
nm8973249,1.0,9,9,197
nm0547523,1.0,9,9,197
nm6183421,1.0,9,9,197
nm9444229,1.0,9,9,197
nm0330853,1.77665,18,18,198
nm3541687,0.956853,9,9,198
nm1905619,1.0,9,9,199
nm5566667,1.0,9,9,199
nm0895089,1.0,9,9,199
nm7412230,1.0,9,9,199
nm0041316,1.0,9,9,199
nm2510035,1.0,9,9,203
nm10501332,1.0,9,9,203
nm5248189,0.718862,9,9,110
nm0619931,1.313326,18,18,110
nm4772266,0.718862,9,9,110
nm0071024,0.891901,9,9,110
nm9519483,0.891901,9,9,110
nm0455816,1.656756,18,18,110
nm5425933,1.0,9,9,117
nm10449340,1.0,9,9,117
nm0044245,1.0,9,9,117
nm2700567,0.948455,9,9,124
nm1062881,0.948455,9,9,124
nm2399591,0.708495,9,9,110
nm0865544,0.708495,9,9,110
nm0441571,1.694829,26,27,177
nm0475872,1.193157,18,18,110
nm0468727,0.677961,9,9,110
nm3704889,0.677961,9,9,110
nm0576364,0.677961,9,9,110
nm0609310,1.444752,18,18,111
nm4943457,0.908091,9,9,11
