actorId,name,movieCount,genreRichness,shannonDiversity,maxPossibleH,topGenres,topGenreShares
nm1269614,Kousalya,2,4,1.9183,2.0,Comedy;Drama;Romance,0.333;0.333;0.167
nm4303311,Yoshitsugu Matsuoka,2,4,1.9183,2.0,Action;Animation;Adventure,0.333;0.333;0.167
nm11840724,Ahmad Abdulhadi,2,4,1.9183,2.0,Comedy;Romance;Drama,0.333;0.333;0.167
nm0012078,Scott Adkins,2,4,1.9183,2.0,Action;Comedy;Sci-Fi,0.333;0.333;0.167
nm0782840,Tomokazu Seki,2,4,1.9183,2.0,Action;Animation;Adventure,0.333;0.333;0.167
nm1670451,Junko Minagawa,2,4,1.9183,2.0,Action;Animation;Adventure,0.333;0.333;0.167
nm6545385,John D. Hickman,2,4,1.9183,2.0,Thriller;Action;Sci-Fi,0.333;0.333;0.167
nm0000706,Michelle Yeoh,2,4,1.9183,2.0,Action;Adventure;Fantasy,0.333;0.333;0.167
nm1596785,Vladimir Epifantsev,2,4,1.9183,2.0,Action;Drama;War,0.333;0.333;0.167
nm12608848,Md Anan Islam,2,4,1.9183,2.0,Comedy;Drama;Adventure,0.333;0.333;0.167
nm0608214,Ali Mosaffa,2,4,1.9183,2.0,Drama;Mystery;Crime,0.333;0.333;0.167
nm3975594,Nasim Adabi,2,4,1.9183,2.0,Crime;Mystery;Thriller,0.333;0.333;0.167
nm6864052,Shinsuke Kato,2,4,1.9183,2.0,Adventure;History;Action,0.333;0.333;0.167
nm1914593,Evgeniy Dyatlov,2,4,1.9183,2.0,Crime;Action;Mystery,0.333;0.333;0.167
nm5852449,Joju George,2,4,1.9183,2.0,Drama;Action;Thriller,0.333;0.333;0.167
nm0227759,Peter Dinklage,2,4,1.9183,2.0,Crime;Comedy;Drama,0.333;0.333;0.167
nm1084853,Allu Arjun,2,4,1.9183,2.0,Drama;Action;Crime,0.333;0.333;0.167
nm10203651,Vijay Kumar,2,4,1.9183,2.0,Drama;Comedy;Fantasy,0.333;0.333;0.167
nm0906696,Norio Wakamoto,2,4,1.9183,2.0,Sci-Fi;Action;Animation,0.333;0.333;0.167
nm0612534,Callan Mulvey,2,4,1.9183,2.0,Action;Horror;Sci-Fi,0.333;0.333;0.167
nm5249562,Pooja Hegde,2,4,1.9183,2.0,Action;Comedy;Drama,0.333;0.333;0.167
nm1551922,Columbus Short,2,4,1.9183,2.0,Drama;Thriller;Comedy,0.333;0.333;0.167
nm0000329,Jackie Chan,2,4,1.9183,2.0,Adventure;Action;Drama,0.333;0.333;0.167
