actorId,name,x,y,community,degree
nm5667822,Inori Minase,-0.0034,-0.016,1383,24
nm7030324,Sôsuke Yamamoto,-0.0131,-0.0069,1003,24
nm6931894,Tariq Khan,0.0009,0.0024,1056,24
nm7392140,Hirokio Andô,-0.013,-0.0062,1003,23
nm6635410,Sumiko Yamashita,0.0018,-0.0043,1347,23
nm1399111,Yôko Satomi,-0.0129,-0.006,1262,23
nm1031561,Rie Nakano,0.0074,-0.0036,548,23
nm1101677,Jun Fukuyama,-0.0029,-0.009,641,23
nm0993544,Etsuko Hara,0.0056,-0.0021,738,23
nm10278449,Tabitha Catherine,0.0042,-0.0047,838,23
nm0059461,Sunil Barve,0.0036,-0.0137,142,22
nm5421394,Kira Caple,0.0042,-0.0047,838,22
nm0881545,Yôko Uraji,-0.0091,-0.0027,177,22
nm1595572,Tokutarô Arashi,0.0033,-0.0078,553,22
nm0999317,Yukiko Tachibana,0.0045,-0.001,548,22
nm7732675,Amol Bawdekar,0.0027,-0.0104,142,22
nm2017943,Hayley Atwell,-0.0013,-0.0057,6,21
nm0005246,Esai Morales,-0.0018,-0.0059,6,21
nm0202135,Saburô Date,-0.0111,-0.0032,366,21
nm0383026,Sumiko Hidaka,0.0104,-0.0297,450,21
nm1662075,Ebisaburô Ichikawa,0.0038,-0.0064,553,21
nm3492422,Seshio,-0.013,-0.0063,1262,21
nm2387197,Rokuro Oishi,-0.0016,-0.0024,217,21
nm2225545,Tommy Caldwell,0.036,0.0013,1364,20
nm10280980,Shinichiro Ichijo,-0.0014,-0.0028,217,20
nm1800631,Tsuruko Matsueda,0.0017,-0.0076,1354,20
nm2191307,Beth Rodden,0.036,0.0013,1364,20
nm7645455,Shikahei Nakamura,0.0028,-0.0065,1354,20
nm1662153,Takeo Minato,-0.0007,-0.0036,217,20
nm2386777,Umetaro Shibayama,-0.0003,-0.0048,217,19
nm2359179,Kakô Ichikawa,-0.0022,-0.0026,217,19
nm0880857,Tatsuo Umemiya,0.0119,-0.0293,615,19
nm0644554,Kinya Ogawa,0.0047,-0.0013,646,19
