actorId,triangles,clusteringCoefficient,kshell,closeness,betweenness
nm0022094,36,1.0,9,0.0,
nm0022134,36,1.0,9,0.0,
nm0022764,36,1.0,8,0.0,
nm0022883,36,1.0,9,0.0,
nm0022993,36,1.0,9,0.048951,
nm0023097,36,1.0,9,0.115385,
nm0023205,36,1.0,9,0.0,
nm0023266,36,1.0,8,0.0,
nm0023697,36,1.0,7,0.0,
nm0023715,36,1.0,9,0.0,
nm0023913,36,1.0,9,0.0,
nm0023914,36,1.0,9,0.0,
nm0023979,36,1.0,9,0.0,
nm0024032,115,0.327635,10,0.0,3.3e-05
nm0024188,36,1.0,9,0.0,
nm0024869,36,1.0,9,0.0,
nm0024908,36,1.0,9,0.0,
nm0024910,36,1.0,9,0.0,
nm0025193,36,1.0,9,0.0,
nm0025459,36,1.0,9,0.0,
nm0025625,36,1.0,9,0.104305,
nm0025654,72,0.529412,9,0.121622,
nm0025879,36,1.0,9,0.0,
nm0027558,36,1.0,8,0.0,
nm0027984,36,1.0,8,0.0,
nm0028007,72,0.470588,9,0.0,0.0
nm0028059,36,1.0,9,0.0,
nm0028222,36,1.0,7,0.0,
nm0028286,36,1.0,9,0.0,
nm0029023,36,1.0,9,0.0,
nm0029671,36,1.0,9,0.0,
nm0029695,36,1.0,9,0.0,
nm0029771,36,1.0,9,0.0,
nm0030022,36,1.0,8,0.0,
nm0030135,36,1.0,9,0.0,
nm0030214,36,1.0,9,0.0,
nm0030278,36,1.0,9,0.0,
nm0030280,72,0.470588,6,0.12426,5.6e-05
nm0030329,36,1.0,9,0.0,
nm0031216,36,1.0,9,0.0,
nm0031524,36,1.0,9,0.0,
nm0031590,36,1.0,9,0.0,
nm0031741,36,1.0,9,0.0,
nm0031818,72,0.529412,9,0.0,
nm0031844,36,1.0,9,0.0,
nm0031976,36,1.0,7,0.0,
nm0032108,36,1.0,9,0.083444,
nm0032633,36,1.0,9,0.0,
nm0032669,36,1.0,9,0.0,
nm0032737,72,0.470588,9,0.05417,0.0
nm0032794,36,1.0,9,0.051429,
nm0032894,36,1.0,9,0.0,
nm0032900,279,0.227755,3,0.0,0.002546
nm0032955,36,1.0,8,0.0,
nm0033133,36,1.0,9,0.0,
nm0033136,153,0.351724,11,0.0,0.001
nm0033152,36,1.0,9,0.0,
nm0033389,36,1.0,9,0.0,
nm0033505,36,1.0,9,0.0,
nm0033843,36,1.0,8,0.0,
nm0034315,72,0.470588,9,0.0,0.0
nm0034330,36,1.0,9,0.0,
nm0034725,36,1.0,9,0.0,
nm0034782,36,1.0,9,0.0,
nm0034804,36,1.0,8,0.0,
nm0034836,36,1.0,9,0.0,
nm0034877,108,0.307692,9,0.0,0.0
nm0034884,36,1.0,9,0.0,
nm0034953,36,1.0,9,0.0,
nm0035082,36,1.0,6,0.0,
nm0035250,36,1.0,9,0.0,
nm0035280,36,1.0,9,0.0,
nm0035395,36,1.0,8,0.0,
nm0036024,36,1.0,9,0.0,
nm0036109,36,1.0,7,0.0,
nm0036237,36,1.0,9,0.0,
nm0036427,36,1.0,6,0.0,
nm0036575,36,1.0,9,0.0,
nm0036873,36,1.0,9,0.0,
nm0037425,36,1.0,9,0.0,
nm0037459,36,1.0,8,0.051429,
nm0037490,36,1.0,8,0.0,
nm0037721,36,1.0,8,0.0,
nm0038167,36,1.0,9,0.0,
nm0038324,36,1.0,9,0.0,
nm0038336,36,1.0,9,0.0,
nm0038351,36,1.0,9,0.0,
nm0038367,36,1.0,7,0.0,
nm0038377,36,1.0,9,0.0,
nm0038449,36,1.0,9,0.0,
nm0038951,74,0.48366,6,0.0,0.000133
nm0038960,75,0.490196,4,0.0,7e-06
nm0039148,36,1.0,7,0.0,
nm0039168,36,1.0,9,0.0,
nm0039203,36,1.0,9,0.0,
nm0039226,36,1.0,7,0.0,
nm0039327,72,0.470588,1,0.0,0.0
nm0039591,36,1.0,9,0.0,
nm0039596,72,0.470588,6,0.12069,0.000114
nm0039746,36,1.0,9,0.0,
nm0039788,36,1.0,9,0.0,
nm0039906,36,1.0,9,0.0,
nm0040366,36,1.0,9,0.0,
nm0040545,36,1.0,9,0.0,
nm0040857,36,1.0,9,0.0,
nm0040910,36,1.0,9,0.0,
nm0041103,36,1.0,9,0.0,
nm0041219,36,1.0,9,0.0,
nm0041308,36,1.0,8,0.0,
nm0041316,36,1.0,9,0.0,
nm0041339,36,1.0,9,0.0,
nm0041528,36,1.0,9,0.0,
nm0042144,36,1.0,8,0.0,
nm0043199,36,1.0,9,0.125498,
nm0043268,36,1.0,9,0.0,
nm0043395,36,1.0,9,0.0,
nm0043396,36,1.0,9,0.0,
nm0043678,36,1.0,9,0.0,
nm0043766,72,0.470588,9,0.0,0.0
nm0044082,36,1.0,9,0.0,
nm0044245,36,1.0,8,0.0,
nm0044293,36,1.0,9,0.0,
nm0044445,72,0.529412,9,0.0,
nm0044452,36,1.0,9,0.0,
nm0044455,293,0.212627,12,0.0,0.010009
nm0044463,36,1.0,9,0.0,
nm0044467,181,0.220732,6,0.0,0.00093
nm0044729,36,1.0,9,0.0,
nm0044762,72,0.470588,2,0.077111,0.000387
nm0045119,36,1.0,9,0.0,
nm0045331,36,1.0,9,0.0,
nm0045393,36,1.0,9,0.104132,
nm0045489,36,1.0,9,0.070156,
nm0045791,36,1.0,8,0.0,
nm0046217,36,1.0,8,0.0,
nm0046277,36,1.0,9,0.0,
nm0046424,36,1.0,9,0.0,
nm0046522,36,1.0,9,0.0,
nm0046532,36,1.0,9,0.0,
nm0046541,36,1.0,8,0.0,
nm0046619,36,1.0,9,0.0,
nm0046977,36,1.0,8,0.0,
nm0047011,36,1.0,9,0.0,
nm0047270,36,1.0,9,0.0,
nm0047624,36,1.0,9,0.0,
nm0047795,36,1.0,9,0.0,
nm0047962,108,0.307692,7,0.0,0.026319
nm0047987,36,1.0,9,0.0,
nm0048081,72,0.470588,9,0.0,0.0
nm0048121,36,1.0,9,0.0,
nm0048250,36,1.0,8,0.0,
nm0049315,36,1.0,9,0.0,
nm0049346,36,1.0,9,0.0,
nm0049665,36,1.0,8,0.0,
nm0050698,36,1.0,9,0.0,
nm0050983,36,1.0,9,0.0,
nm0051224,36,1.0,9,0.0,
nm0051302,36,1.0,7,0.0,
nm0051345,36,1.0,9,0.0,
nm0051397,36,1.0,8,0.0,
nm0051502,144,0.256684,9,0.0,0.002121
nm0051761,36,1.0,9,0.0,
nm0051765,618,0.147635,12,0.0,0.010524
nm0051784,72,0.470588,9,0.0,0.0
nm0051812,72,0.529412,9,0.0,
nm0051822,36,1.0,9,0.0,
nm0051856,36,1.0,9,0.106239,
nm0052455,36,1.0,8,0.0,
nm0052491,36,1.0,9,0.0,
nm0052532,36,1.0,9,0.126761,
nm0053257,36,1.0,9,0.0,
nm0053519,36,1.0,8,0.083444,
nm0054214,36,1.0,9,0.060345,
nm0055185,36,1.0,9,0.0,
nm0055264,36,1.0,9,0.0,
nm0055362,36,1.0,9,0.0,
nm0055682,36,1.0,9,0.0,
nm0056271,36,1.0,8,0.0,
nm0056333,36,1.0,7,0.051429,
nm0056770,36,1.0,6,0.0,
nm0056817,36,1.0,9,0.0,
nm0056948,36,1.0,9,0.0,
nm0057776,36,1.0,9,0.0,
nm0057843,36,1.0,9,0.0,
nm0058537,36,1.0,9,0.0,
nm0059303,36,1.0,9,0.064286,
nm0059461,98,0.424242,8,0.111111,0.0
nm0059824,36,1.0,9,0.0,
nm0059935,36,1.0,9,0.0,
nm0060544,36,1.0,9,0.081395,
nm0060934,36,1.0,9,0.0,
nm0061877,36,1.0,8,0.0,
nm0062098,72,0.470588,9,0.061825,4e-06
nm0062509,36,1.0,9,0.0,
nm0062540,72,0.470588,3,0.0,0.0
nm0062568,36,1.0,9,0.106961,
nm0063205,36,1.0,9,0.0,
nm0063387,72,0.470588,9,0.0,0.0
nm0064933,36,1.0,7,0.0,
nm0066075,36,1.0,9,0.103618,
nm0066080,36,1.0,9,0.0,
nm0066093,36,1.0,9,0.0,
nm0066583,36,1.0,9,0.0,
nm0066763,36,1.0,9,0.0,
nm0066827,71,0.591667,8,0.0,
nm0067697,36,1.0,9,0.0,
nm0068959,36,1.0,9,0.0,
nm0069168,36,1.0,9,0.0,
nm0069580,36,1.0,9,0.0,
nm0069871,36,1.0,8,0.0,
nm0069898,36,1.0,9,0.0,
nm0069974,36,1.0,7,0.0,
nm0069994,36,1.0,9,0.0,
nm0070123,36,1.0,8,0.0,
nm0070571,36,1.0,8,0.0,
nm0070771,36,1.0,9,0.0,
nm0071024,36,1.0,8,0.0,
nm0071044,108,0.307692,1,0.0,0.0
nm0071416,36,1.0,8,0.0,
nm0072610,36,1.0,9,0.0,
nm0072910,36,1.0,9,0.0,
nm0073426,36,1.0,9,0.09403,
nm0074053,36,1.0,9,0.0,
nm0075359,72,0.470588,1,0.0,0.0
nm0075616,36,1.0,9,0.070156,
nm0075710,36,1.0,9,0.0,
nm0076482,36,1.0,9,0.0,
nm0076780,36,1.0,9,0.0,
nm0076889,36,1.0,8,0.0,
nm0077257,36,1.0,9,0.0,
nm0077811,36,1.0,9,0.0,
nm0078209,36,1.0,9,0.0,
nm0078664,36,1.0,9,0.0,
nm0078800,36,1.0,8,0.0,
nm0079451,72,0.470588,2,0.073171,0.0
nm0079890,36,1.0,9,0.0,
nm0080180,108,0.307692,9,0.130165,0.000671
nm0080238,72,0.470588,9,0.121622,0.0
nm0080248,72,0.470588,9,0.12233,0.000132
nm0080333,36,1.0,9,0.0,
nm0080352,36,1.0,9,0.110915,
nm0080426,72,0.470588,9,0.101449,0.0
nm0080438,36,1.0,9,0.0,
nm0080900,36,1.0,9,0.0,
nm0080925,36,1.0,8,0.0,
nm0080968,36,1.0,9,0.0,
nm0081070,36,1.0,8,0.073001,
nm0081175,36,1.0,9,0.0,
nm0081457,36,1.0,8,0.0,
nm0082052,72,0.470588,9,0.0,4e-06
nm0082212,36,1.0,9,0.0,
nm0082731,36,1.0,9,0.0,
nm0082848,36,1.0,9,0.0,
nm0082897,36,1.0,9,0.0,
nm0082979,36,1.0,8,0.0,
nm0083714,36,1.0,6,0.0,
nm0083795,36,1.0,9,0.0,
nm0084241,36,1.0,9,0.0,
nm0084270,36,1.0,9,0.0,
nm0084443,36,1.0,8,0.126761,
nm0084581,36,1.0,9,0.0,
nm0084908,36,1.0,9,0.075269,
nm0085611,36,1.0,9,0.0,
nm0085837,72,0.470588,9,0.0,0.0
nm0085997,36,1.0,9,0.088359,
nm0086134,36,1.0,9,0.0,
nm0086301,36,1.0,7,0.0,
nm0087018,36,1.0,8,0.0,
nm0087281,36,1.0,8,0.0,
nm0087787,36,1.0,8,0.0,
nm0087807,36,1.0,8,0.0,
nm0089597,36,1.0,9,0.0,
nm0089707,36,1.0,9,0.0,
nm0090085,36,1.0,7,0.0,
nm0090236,36,1.0,9,0.0,
nm0090353,36,1.0,9,0.0,
nm0090487,36,1.0,9,0.0,
nm0090965,36,1.0,9,0.0,
nm0091505,36,1.0,9,0.0,
nm0091688,36,1.0,9,0.0,
nm0091931,36,1.0,9,0.07563,
nm0092118,36,1.0,9,0.0,
nm0092314,36,1.0,7,0.0,
nm0092348,36,1.0,9,0.0,
nm0092608,36,1.0,9,0.06409,
nm0093199,36,1.0,9,0.0,
nm0093209,36,1.0,8,0.0,
nm0093210,36,1.0,7,0.0,
nm0093294,36,1.0,9,0.0,
nm0093671,36,1.0,9,0.0,
nm0093872,36,1.0,9,0.0,
nm0094170,72,0.470588,9,0.099526,0.002636
nm0094746,36,1.0,9,0.0,
nm0095308,36,1.0,9,0.0,
nm0095465,36,1.0,9,0.0,
nm0095696,36,1.0,9,0.0,
nm0095971,36,1.0,8,0.0,
nm0097088,36,1.0,9,0.0,
nm0098284,36,1.0,9,0.0,
nm0098388,36,1.0,9,0.0,
nm0098524,36,1.0,9,0.0,
nm0099521,36,1.0,8,0.0,
nm0099560,36,1.0,8,0.0,
nm0099561,36,1.0,7,0.0,
nm0100263,36,1.0,9,0.0,
nm0100333,36,1.0,8,0.0,
nm0100343,36,1.0,7,0.0,
nm0100460,36,1.0,9,0.073001,
nm0100492,36,1.0,9,0.0,
nm0100653,36,1.0,9,0.0,
nm0100889,36,1.0,8,0.088112,
nm0101005,36,1.0,6,0.0,
nm0101198,36,1.0,7,0.0,
nm0101248,36,1.0,7,0.0,
nm0101400,36,1.0,9,0.06833,
nm0101558,36,1.0,8,0.0,
nm0101880,36,1.0,9,0.0,
nm0101997,36,1.0,9,0.095455,
nm0102410,36,1.0,8,0.0,
nm0102502,36,1.0,9,0.0,
nm0103852,36,1.0,8,0.075269,
